Date,Location,Latitude,Longitude,Temperature (°C),Humidity (%),Wind_Speed (m/s),Solar_Irradiance (W/m²),Cloud_Cover (%),Precipitation (mm),Sunshine_Hours,Month,Season,Solar_Energy_Output (kWh)
2024-02-26,Delhi,28.6139,77.209,25.8,39.767864318052396,3.6,507.2,44.716531698445905,0.8,6.2,2,Winter,25.12
2024-02-27,Bangalore,12.9716,77.5946,32.1,47.704149266872626,3.63,588.6,15.584197334946271,1.1,6.8,2,Winter,29.41
2024-02-28,Bangalore,12.9716,77.5946,33.9,47.47871810795488,4.0,759.6,37.447663285357706,3.7,6.8,2,Winter,37.81
2024-02-29,Bangalore,12.9716,77.5946,33.6,56.678094127032544,2.97,837.5,29.331991815734618,8.2,8.4,2,Winter,41.23
2024-03-01,Kolkata,22.5726,88.3639,30.6,16.525885432005595,3.59,682.7,17.943446072391517,0.3,8.4,3,Summer,33.64
2024-03-02,Jaipur,26.9124,75.7873,25.4,51.646198089151945,3.25,704.3,27.517368397138412,3.0,9.9,3,Summer,37.07
2024-03-03,Chennai,13.0827,80.2707,30.9,34.86078224703512,3.25,810.4,54.87755887046961,0.5,7.4,3,Summer,38.46
2024-03-04,Ahmedabad,23.0225,72.5714,36.2,44.8372069575915,4.57,690.8,46.06944125342599,0.1,9.4,3,Summer,34.36
2024-03-05,Hyderabad,17.385,78.4867,30.7,26.26713514632622,2.54,701.8,10.160488281718402,2.5,9.9,3,Summer,37.26
2024-03-06,Ahmedabad,23.0225,72.5714,39.1,45.14368594333013,4.69,894.3,10.612649288358545,2.1,7.1,3,Summer,45.92
2024-03-07,Jaipur,26.9124,75.7873,34.3,59.83157878803949,4.4,785.2,35.353216189208496,4.4,9.6,3,Summer,38.91
2024-03-08,Ahmedabad,23.0225,72.5714,32.6,67.1284748236013,3.64,778.1,24.914925809140176,2.7,4.7,3,Summer,38.72
2024-03-09,Chennai,13.0827,80.2707,33.5,38.6908441774344,3.01,736.2,19.42900361766688,1.3,8.6,3,Summer,38.97
2024-03-10,Chennai,13.0827,80.2707,30.9,49.744872364336764,4.28,790.6,10.029035733248644,3.5,9.5,3,Summer,40.44
2024-03-11,Bangalore,12.9716,77.5946,31.8,37.5815456093913,3.17,940.7,32.690284891043305,2.0,7.9,3,Summer,45.57
2024-03-12,Jaipur,26.9124,75.7873,24.8,49.677651331712866,4.06,887.0,50.44099008562701,1.4,11.9,3,Summer,44.41
2024-03-13,Ahmedabad,23.0225,72.5714,30.7,28.17404154973905,3.96,678.5,15.009562790940723,1.2,7.1,3,Summer,35.1
2024-03-14,Pune,18.5204,73.8567,35.0,40.375090865107126,2.63,757.3,30.807300668944904,3.3,10.0,3,Summer,38.59
2024-03-15,Hyderabad,17.385,78.4867,37.2,43.963952802335236,3.69,849.9,9.062246415812591,0.3,8.1,3,Summer,44.02
2024-03-16,Bangalore,12.9716,77.5946,26.2,52.69837511943784,2.39,596.9,44.742381300064025,2.5,9.1,3,Summer,30.11
2024-03-17,Hyderabad,17.385,78.4867,32.1,51.48480637426022,4.14,916.1,50.530111232951754,2.3,12.0,3,Summer,45.05
2024-03-18,Ahmedabad,23.0225,72.5714,31.6,50.58256234149554,4.96,720.3,13.612801205235954,2.2,9.2,3,Summer,38.67
2024-03-19,Pune,18.5204,73.8567,27.1,52.24791420679345,3.35,722.0,21.58158828661906,0.8,8.8,3,Summer,35.52
2024-03-20,Delhi,28.6139,77.209,32.5,64.13033411885426,3.12,771.4,40.402223912922715,2.2,9.6,3,Summer,36.58
2024-03-21,Ahmedabad,23.0225,72.5714,27.7,37.18862524230292,3.33,739.1,39.160407639479004,1.2,8.3,3,Summer,35.29
2024-03-22,Hyderabad,17.385,78.4867,27.2,45.88276201601236,3.14,742.9,33.73489411346753,1.0,7.6,3,Summer,37.82
2024-03-23,Chennai,13.0827,80.2707,31.3,22.59047238853373,3.61,660.0,27.563738205818247,2.2,7.4,3,Summer,33.31
2024-03-24,Kolkata,22.5726,88.3639,13.0,69.13904449985586,3.12,894.1,30.631496627517468,0.4,8.2,3,Summer,45.06
2024-03-25,Hyderabad,17.385,78.4867,28.3,31.531986747439788,3.14,699.4,36.99789822643274,1.0,4.5,3,Summer,36.24
2024-03-26,Delhi,28.6139,77.209,23.3,45.62596949545933,2.66,831.9,25.337899172656293,1.2,5.3,3,Summer,41.86
2024-03-27,Jaipur,26.9124,75.7873,34.5,49.56669128691087,2.5,793.1,5.249189588647944,1.1,9.2,3,Summer,41.68
2024-03-28,Bangalore,12.9716,77.5946,30.1,48.14180886215555,2.96,880.6,32.69788640124926,0.8,10.7,3,Summer,45.53
2024-03-29,Bangalore,12.9716,77.5946,31.8,82.40683442194518,1.87,782.9,34.873725414204955,1.4,10.9,3,Summer,40.16
2024-03-30,Chennai,13.0827,80.2707,20.9,90.0,4.66,743.8,15.289156256579124,1.6,8.6,3,Summer,37.7
2024-03-31,Chennai,13.0827,80.2707,28.0,57.393971746477746,3.31,655.4,24.965703403401136,1.6,10.6,3,Summer,33.87
2024-04-01,Chennai,13.0827,80.2707,38.7,40.37375775224761,4.28,755.8,12.44443043018313,1.9,12.0,4,Summer,38.86
2024-04-02,Jaipur,26.9124,75.7873,28.9,59.763168824576354,4.27,756.2,28.108357511515745,0.7,4.5,4,Summer,38.12
2024-04-03,Ahmedabad,23.0225,72.5714,37.9,30.3917571044307,3.92,580.0,13.724343524249385,1.7,5.9,4,Summer,29.85
2024-04-04,Bangalore,12.9716,77.5946,34.1,47.06597040506018,3.99,804.5,23.889924060604674,2.0,9.8,4,Summer,41.07
2024-04-05,Hyderabad,17.385,78.4867,31.1,43.5826372620095,2.39,657.9,32.98393623789024,0.9,10.0,4,Summer,34.99
2024-04-06,Delhi,28.6139,77.209,22.7,71.39243084922174,3.55,825.1,25.967406032072383,2.6,8.9,4,Summer,43.28
2024-04-07,Kolkata,22.5726,88.3639,31.4,44.76840166998301,5.56,730.5,38.680134397131,0.6,9.7,4,Summer,37.7
2024-04-08,Hyderabad,17.385,78.4867,31.8,44.974134499122414,3.64,896.2,0.0,4.2,5.6,4,Summer,47.22
2024-04-09,Hyderabad,17.385,78.4867,26.1,55.94806010211802,3.6,595.1,32.48089252665892,3.5,8.5,4,Summer,31.5
2024-04-10,Pune,18.5204,73.8567,25.1,59.24609967043739,3.79,847.5,13.129068440246376,0.5,7.6,4,Summer,42.06
2024-04-11,Bangalore,12.9716,77.5946,30.4,48.82992659425226,4.71,777.1,15.12087026544794,0.8,8.9,4,Summer,39.98
2024-04-12,Bangalore,12.9716,77.5946,26.3,76.75782839278419,5.07,817.1,22.465735249111134,1.1,8.7,4,Summer,41.74
2024-04-13,Ahmedabad,23.0225,72.5714,33.9,61.537866800567876,6.43,678.1,33.49355940814199,1.4,6.3,4,Summer,33.83
2024-04-14,Chennai,13.0827,80.2707,29.1,63.04623684500095,2.7,701.0,42.90920286731878,3.0,11.2,4,Summer,33.59
2024-04-15,Ahmedabad,23.0225,72.5714,28.7,41.233496792797126,3.15,741.2,38.318010187925154,3.8,11.3,4,Summer,37.41
2024-04-16,Ahmedabad,23.0225,72.5714,32.0,28.582419031980365,4.68,676.3,29.503789769236434,3.7,4.5,4,Summer,31.69
2024-04-17,Kolkata,22.5726,88.3639,36.7,36.94547294379947,4.22,690.5,27.414103020118894,3.4,10.7,4,Summer,35.0
2024-04-18,Chennai,13.0827,80.2707,35.0,59.90620092566412,3.36,702.6,41.28370515769812,1.5,10.9,4,Summer,35.97
2024-04-19,Jaipur,26.9124,75.7873,20.1,77.23349457081773,3.82,619.8,48.04714609437458,1.2,8.2,4,Summer,29.4
2024-04-20,Hyderabad,17.385,78.4867,30.8,42.540943234505555,3.28,851.0,34.20330276860839,1.7,7.2,4,Summer,42.79
2024-04-21,Pune,18.5204,73.8567,25.6,61.62415786529192,4.14,672.8,14.608212196117924,0.3,7.6,4,Summer,33.77
2024-04-22,Hyderabad,17.385,78.4867,18.3,46.48618676147542,2.32,726.8,0.0,0.1,6.6,4,Summer,36.39
2024-04-23,Ahmedabad,23.0225,72.5714,27.3,54.655519978567895,3.28,630.4,44.42088192266829,0.5,7.6,4,Summer,31.67
2024-04-24,Pune,18.5204,73.8567,29.6,49.46505485512138,4.76,641.7,39.869417976341126,0.7,11.4,4,Summer,32.72
2024-04-25,Bangalore,12.9716,77.5946,29.7,46.314912155045604,5.07,681.0,6.642194328382907,1.6,8.3,4,Summer,35.28
2024-04-26,Ahmedabad,23.0225,72.5714,32.3,73.34921561428926,4.42,754.7,13.870320816631304,4.0,11.1,4,Summer,38.16
2024-04-27,Delhi,28.6139,77.209,31.4,64.2114794305672,2.19,810.0,32.887754199169606,2.8,11.3,4,Summer,41.76
2024-04-28,Pune,18.5204,73.8567,38.6,50.25423839946435,2.14,633.4,27.732883203899416,1.7,9.1,4,Summer,31.25
2024-04-29,Bangalore,12.9716,77.5946,24.4,53.14514109509046,3.81,637.3,35.12039503455172,2.0,7.2,4,Summer,32.37
2024-04-30,Ahmedabad,23.0225,72.5714,25.4,46.7091908127734,3.92,693.2,15.866164589660992,2.8,10.8,4,Summer,34.03
2024-05-01,Ahmedabad,23.0225,72.5714,31.9,47.21701571507868,2.34,701.0,24.605824155553414,1.5,7.3,5,Summer,34.26
2024-05-02,Delhi,28.6139,77.209,23.2,64.06837093629545,6.47,830.1,20.243701109156902,0.1,4.4,5,Summer,41.03
2024-05-03,Delhi,28.6139,77.209,27.7,45.47850008361652,3.43,746.7,35.507975966518075,1.8,8.9,5,Summer,36.75
2024-05-04,Chennai,13.0827,80.2707,30.1,59.39918286822588,2.67,978.1,9.989819304861578,0.3,8.2,5,Summer,48.54
2024-05-05,Delhi,28.6139,77.209,25.3,49.32450270298281,3.71,738.6,21.85642849305795,3.5,10.0,5,Summer,37.19
2024-05-06,Chennai,13.0827,80.2707,34.6,58.79553082945179,3.86,825.1,22.211778941685864,1.0,8.3,5,Summer,40.95
2024-05-07,Ahmedabad,23.0225,72.5714,40.3,67.80912614008912,3.93,605.2,14.985919665225794,4.7,7.3,5,Summer,31.73
2024-05-08,Ahmedabad,23.0225,72.5714,39.5,59.36321938421045,2.72,853.9,34.514723665474634,1.7,8.8,5,Summer,43.51
2024-05-09,Kolkata,22.5726,88.3639,30.8,39.5783437821022,4.07,656.2,20.22482844512389,0.6,11.1,5,Summer,32.64
2024-05-10,Ahmedabad,23.0225,72.5714,29.8,44.12702667384956,3.47,863.0,22.93926080332966,2.2,5.6,5,Summer,44.19
2024-05-11,Chennai,13.0827,80.2707,28.0,54.60528622590711,3.08,672.4,12.46055633704287,2.8,7.2,5,Summer,34.0
2024-05-12,Bangalore,12.9716,77.5946,30.1,90.0,4.02,700.0,17.58713351826879,0.2,6.5,5,Summer,35.33
2024-05-13,Delhi,28.6139,77.209,27.8,90.0,3.74,788.1,35.51677989274586,1.3,8.2,5,Summer,37.8
2024-05-14,Bangalore,12.9716,77.5946,19.4,53.11844912953602,3.99,537.6,18.020439556761975,2.8,8.1,5,Summer,27.6
2024-05-15,Jaipur,26.9124,75.7873,34.4,48.68933996056759,1.79,793.2,26.86155780840977,0.3,9.8,5,Summer,40.7
2024-05-16,Pune,18.5204,73.8567,34.9,31.838294054186587,5.02,826.5,26.3599181475248,1.8,9.9,5,Summer,43.68
2024-05-17,Kolkata,22.5726,88.3639,32.0,43.195094737094195,3.78,823.3,11.717889890097428,1.2,9.3,5,Summer,42.51
2024-05-18,Ahmedabad,23.0225,72.5714,26.5,14.00341254892863,2.69,806.2,28.213958357606273,0.8,7.1,5,Summer,41.08
2024-05-19,Hyderabad,17.385,78.4867,33.8,39.40872397303256,3.7,815.9,4.7767672107413865,1.7,7.2,5,Summer,41.97
2024-05-20,Pune,18.5204,73.8567,35.5,58.76817473900337,1.86,733.4,14.481831802612751,0.5,3.5,5,Summer,34.38
2024-05-21,Hyderabad,17.385,78.4867,35.0,44.70862440046333,3.73,804.6,22.83503205396577,0.8,9.4,5,Summer,40.62
2024-05-22,Bangalore,12.9716,77.5946,29.9,60.866864273704614,2.89,809.3,38.84893141439977,3.3,11.3,5,Summer,41.96
2024-05-23,Hyderabad,17.385,78.4867,30.7,90.0,1.98,758.7,31.051056769189614,1.7,7.8,5,Summer,36.83
2024-05-24,Bangalore,12.9716,77.5946,21.5,55.90656892883533,3.37,576.2,22.128127579844097,4.4,9.6,5,Summer,29.53
2024-05-25,Jaipur,26.9124,75.7873,32.2,63.134880235286076,4.0,656.9,12.801004743146008,1.1,5.7,5,Summer,32.35
2024-05-26,Delhi,28.6139,77.209,34.6,36.367617604692775,4.63,854.4,11.20784344967643,1.1,8.7,5,Summer,43.4
2024-05-27,Delhi,28.6139,77.209,30.5,34.70471788784471,3.25,730.3,20.94182759028171,0.7,7.8,5,Summer,36.02
2024-05-28,Kolkata,22.5726,88.3639,42.6,52.90415502267565,2.49,775.6,44.45984896993701,0.1,10.6,5,Summer,39.44
2024-05-29,Pune,18.5204,73.8567,34.5,53.620414158980026,3.47,718.9,18.983057140488725,2.5,8.7,5,Summer,35.77
2024-05-30,Ahmedabad,23.0225,72.5714,27.9,33.602759955958945,3.24,672.7,35.85248042700782,1.9,10.1,5,Summer,33.41
2024-05-31,Kolkata,22.5726,88.3639,28.0,58.49815242230407,5.3,713.2,34.490338155178634,1.3,9.5,5,Summer,35.24
2024-06-01,Kolkata,22.5726,88.3639,29.4,45.57126154662238,4.35,916.9,44.84401935586576,0.4,5.9,6,Monsoon,46.94
2024-06-02,Kolkata,22.5726,88.3639,30.2,50.852017640151644,2.75,725.2,54.48909016370631,0.9,9.3,6,Monsoon,34.24
2024-06-03,Jaipur,26.9124,75.7873,32.0,55.90612539829914,4.12,654.8,35.60995391383036,1.5,8.5,6,Monsoon,33.36
2024-06-04,Bangalore,12.9716,77.5946,30.3,34.73046674781516,3.21,915.5,15.071509140504363,0.5,6.8,6,Monsoon,45.05
2024-06-05,Hyderabad,17.385,78.4867,29.1,38.302901703931454,3.83,768.7,12.285783801530748,1.8,10.0,6,Monsoon,37.49
2024-06-06,Delhi,28.6139,77.209,35.6,67.58826493970611,2.45,566.1,10.107815597434197,1.8,11.3,6,Monsoon,30.72
2024-06-07,Pune,18.5204,73.8567,32.3,53.077186807538894,2.83,798.1,30.618890619665716,2.0,11.0,6,Monsoon,40.58
2024-06-08,Delhi,28.6139,77.209,29.4,57.28639650236422,4.55,804.1,29.775326616185527,0.0,9.6,6,Monsoon,41.44
2024-06-09,Bangalore,12.9716,77.5946,32.4,45.519226648497856,2.44,747.8,0.7817233637964165,2.6,11.0,6,Monsoon,38.85
2024-06-10,Bangalore,12.9716,77.5946,30.3,46.293459157196885,3.79,833.1,16.83839867541115,1.8,9.4,6,Monsoon,42.18
2024-06-11,Pune,18.5204,73.8567,25.8,63.242265841115895,3.6,892.9,1.598450516169791,4.4,9.0,6,Monsoon,44.75
2024-06-12,Jaipur,26.9124,75.7873,30.1,55.09628897320661,4.41,660.3,28.90522144325805,1.2,7.1,6,Monsoon,34.07
2024-06-13,Jaipur,26.9124,75.7873,23.8,59.94095771104307,2.59,779.7,35.18407012145755,1.6,8.9,6,Monsoon,38.79
2024-06-14,Pune,18.5204,73.8567,31.9,54.659990912286936,4.57,699.8,17.830600813276163,0.4,10.0,6,Monsoon,35.66
2024-06-15,Bangalore,12.9716,77.5946,36.8,71.83277620052692,3.71,755.1,0.0,1.7,7.9,6,Monsoon,37.43
2024-06-16,Kolkata,22.5726,88.3639,26.6,49.783361445176624,3.15,614.4,37.28785228144299,5.6,4.6,6,Monsoon,30.2
2024-06-17,Pune,18.5204,73.8567,33.9,57.74343612635876,3.31,708.4,41.14332337736616,0.3,9.5,6,Monsoon,35.28
2024-06-18,Delhi,28.6139,77.209,28.8,52.07418340988972,3.55,724.9,39.01440882510729,1.0,8.4,6,Monsoon,36.44
2024-06-19,Ahmedabad,23.0225,72.5714,30.7,64.40797871655842,4.55,877.3,29.916798807485183,2.4,6.1,6,Monsoon,42.87
2024-06-20,Hyderabad,17.385,78.4867,33.9,67.0118877758268,5.65,793.2,16.68758183185281,2.0,6.4,6,Monsoon,38.85
2024-06-21,Chennai,13.0827,80.2707,38.2,42.11479619320654,2.94,973.6,18.059137376230662,0.5,9.5,6,Monsoon,49.15
2024-06-22,Chennai,13.0827,80.2707,40.2,70.10761225514622,4.0,672.7,21.853405714255544,1.6,7.0,6,Monsoon,33.18
2024-06-23,Kolkata,22.5726,88.3639,32.0,38.176016203414335,3.78,920.2,32.546405800167655,1.0,7.1,6,Monsoon,44.92
2024-06-24,Hyderabad,17.385,78.4867,33.8,40.307988397126344,2.48,778.3,29.15324298519601,5.3,6.2,6,Monsoon,39.32
2024-06-25,Bangalore,12.9716,77.5946,25.9,31.57579273189698,2.26,891.0,22.72220813907653,2.2,7.9,6,Monsoon,45.87
2024-06-26,Ahmedabad,23.0225,72.5714,47.0,68.4870298005642,4.25,651.8,0.0,0.2,7.6,6,Monsoon,32.8
2024-06-27,Bangalore,12.9716,77.5946,33.2,36.89086216117974,3.32,724.2,28.43758272256872,6.5,10.9,6,Monsoon,37.68
2024-06-28,Pune,18.5204,73.8567,33.7,55.5903691539734,3.92,663.7,26.960438292332245,0.4,7.5,6,Monsoon,34.96
2024-06-29,Hyderabad,17.385,78.4867,30.7,52.35570585519604,3.11,688.3,5.565011994710641,3.7,8.6,6,Monsoon,36.52
2024-06-30,Pune,18.5204,73.8567,25.7,49.5250889402549,5.57,599.7,25.136293612781774,1.5,5.5,6,Monsoon,28.83
2024-07-01,Kolkata,22.5726,88.3639,35.8,69.97089406198185,4.99,786.4,22.006410358856684,2.8,6.9,7,Monsoon,38.88
2024-07-02,Ahmedabad,23.0225,72.5714,26.7,71.8948196296472,4.0,634.7,24.859389467271477,2.0,7.0,7,Monsoon,33.01
2024-07-03,Ahmedabad,23.0225,72.5714,32.5,85.62145921890942,3.26,857.2,37.333447757062956,0.9,8.8,7,Monsoon,41.8
2024-07-04,Ahmedabad,23.0225,72.5714,37.2,76.18640501034287,4.08,802.1,32.73071306751157,2.2,8.4,7,Monsoon,38.79
2024-07-05,Hyderabad,17.385,78.4867,33.4,59.83683551114176,3.26,804.5,39.351412211223916,1.4,11.7,7,Monsoon,39.58
2024-07-06,Ahmedabad,23.0225,72.5714,32.5,42.65756990097315,3.3,773.1,24.12871586964993,1.2,12.0,7,Monsoon,39.76
2024-07-07,Ahmedabad,23.0225,72.5714,28.8,54.94975600601816,2.77,774.8,43.86341196852773,2.1,11.9,7,Monsoon,39.29
2024-07-08,Kolkata,22.5726,88.3639,35.4,69.44618672325323,0.54,795.3,48.88587776667198,0.3,8.1,7,Monsoon,41.24
2024-07-09,Hyderabad,17.385,78.4867,27.6,39.84983770721633,2.6,778.5,37.9921938158019,2.6,10.5,7,Monsoon,39.42
2024-07-10,Jaipur,26.9124,75.7873,34.4,33.32445070156356,4.65,778.6,24.0765157380446,2.6,8.1,7,Monsoon,38.96
2024-07-11,Jaipur,26.9124,75.7873,26.8,52.599226027443024,4.69,805.5,22.187973524269903,1.0,10.5,7,Monsoon,41.8
2024-07-12,Delhi,28.6139,77.209,26.9,58.762921909980875,4.34,628.8,35.7990811269804,2.4,5.9,7,Monsoon,31.97
2024-07-13,Pune,18.5204,73.8567,27.4,49.59313408960724,2.51,820.3,24.778927371739425,3.0,7.1,7,Monsoon,41.06
2024-07-14,Delhi,28.6139,77.209,23.1,46.842654378887595,2.22,843.1,34.2429481029641,3.2,9.4,7,Monsoon,44.07
2024-07-15,Delhi,28.6139,77.209,39.8,55.224692630644206,3.81,680.2,29.160028027406444,0.9,9.1,7,Monsoon,33.69
2024-07-16,Jaipur,26.9124,75.7873,31.1,47.57358123586888,1.21,905.7,15.75008030016358,0.9,8.6,7,Monsoon,47.61
2024-07-17,Bangalore,12.9716,77.5946,25.1,40.384449824054016,4.48,707.0,13.499814281176235,0.2,11.6,7,Monsoon,35.93
